119632,Sundaram Asset Management Company Limited,Sundaram Short Term Credit Risk Fund,Direct,Growth,Open Ended,Debt Scheme,Credit Risk Fund,119632,Credit Risk Fund,INF903J01OE0
120288,Sahara Asset Management Company Private Limited,Sahara Growth Fund,Direct,Growth,Open Ended,Undefined,Growth,120288,Growth,INF515L01759INF515L01767
120289,Sahara Asset Management Company Private Limited,Sahara Growth Fund,Direct,Growth,Open Ended,Undefined,Growth,120289,Growth,INF515L01775
119664,Sundaram Asset Management Company Limited,Sundaram Short Term Debt Fund,Direct,Growth,Open Ended,Debt Scheme,Short Duration Fund,119664,Short Duration Fund,INF903J01QR7
119226,DSP Investment Managers Private Limited,DSP Short Term Fund,Direct,Growth,Open Ended,Debt Scheme,Short Duration Fund,119226,Short Duration Fund,INF740K01NJ5
119709,SBI Funds Management Private Limited,SBI MAGNUM EQUITY ESG FUND,Direct,Growth,Open Ended,Equity Scheme,Sectoral/ Thematic,119709,Sectoral/ Thematic,INF200K01SE0
118282,Canara Robeco Asset Management Company Limited,Canara Robeco Income Fund,Direct,Growth,Open Ended,Debt Scheme,Medium to Long Duration Fund,118282,Medium to Long Duration Fund,INF760K01FI1
119648,Aditya Birla Sun Life AMC Limited,Aditya Birla Sun Life Index Fund,Direct,Growth,Open Ended,Other Scheme,Index Funds,119648,Index Funds,INF209K01VY3
120398,ICICI Prudential Asset Management Company Limited,ICICI Prudential Savings Fund,Direct,Growth,Open Ended,Debt Scheme,Low Duration Fund,120398,Low Duration Fund,INF109K01O82
119620,Aditya Birla Sun Life AMC Limited,Aditya Birla Sun Life Midcap Fund,Direct,Growth,Open Ended,Equity Scheme,Mid Cap Fund,119620,Mid Cap Fund,INF209K01Q30
120334,ICICI Prudential Asset Management Company Limited,ICICI Prudential Multi-Asset Fund,Direct,Growth,Open Ended,Hybrid Scheme,Multi Asset Allocation,120334,Multi Asset Allocation,INF109K015K4
120030,HSBC Asset Management (India) Private Ltd.,HSBC Large Cap Equity Fund,Direct,Growth,Open Ended,Equity Scheme,Large Cap Fund,120030,Large Cap Fund,INF336L01CM7
120059,HSBC Asset Management (India) Private Ltd.,HSBC Debt Fund,Direct,Growth,Open Ended,Debt Scheme,Medium to Long Duration Fund,120059,Medium to Long Duration Fund,INF336L01DE2
120062,HSBC Asset Management (India) Private Ltd.,HSBC Short Duration Fund,Direct,Growth,Open Ended,Debt Scheme,Short Duration Fund,120062,Short Duration Fund,INF336L01DL7
120038,HSBC Asset Management (India) Private Ltd.,HSBC Cash Fund,Direct,Growth,Open Ended,Debt Scheme,Liquid Fund,120038,Liquid Fund,INF336L01CC8
118796,Nippon Life India Asset Management Limited,Nippon India Short Term Fund,Direct,Growth,Open Ended,Debt Scheme,Short Duration Fund,118796,Short Duration Fund,INF204K01B32
119507,Aditya Birla Sun Life AMC Limited,Aditya Birla Sun Life Dividend Yield Fund,Direct,Growth,Open Ended,Equity Scheme,Dividend Yield Fund,119507,Dividend Yield Fund,INF209K01WA1
119250,DSP Investment Managers Private Limited,DSP Top 100 Equity Fund,Direct,Growth,Open Ended,Equity Scheme,Large Cap Fund,119250,Large Cap Fund,INF740K01PR3
120754,ICICI Prudential Asset Management Company Limited,ICICI Prudential Short Term Fund,Direct,Growth,Open Ended,Debt Scheme,Short Duration Fund,120754,Short Duration Fund,INF109K013N3
120425,ICICI Prudential Asset Management Company Limited,ICICI Prudential Floating Interest Fund,Direct,Growth,Open Ended,Debt Scheme,Floater Fund,120425,Floater Fund,INF109K01P57
119082,DSP Investment Managers Private Limited,DSP Credit Risk Fund,Direct,Growth,Open Ended,Debt Scheme,Credit Risk Fund,119082,Credit Risk Fund,INF740K01OS4
119498,Aditya Birla Sun Life AMC Limited,Aditya Birla Sun Life Short Term Fund,Direct,Growth,Open Ended,Debt Scheme,Short Duration Fund,119498,Short Duration Fund,INF209K01XK8
118588,Nippon Life India Asset Management Limited,Nippon India Banking Fund,Direct,Growth,Open Ended,Equity Scheme,Sectoral/ Thematic,118588,Sectoral/ Thematic,INF204K01D22
118589,Nippon Life India Asset Management Limited,Nippon India Banking Fund,Direct,Growth,Open Ended,Equity Scheme,Sectoral/ Thematic,118589,Sectoral/ Thematic,INF204K01XO1
120276,LIC Mutual Fund Asset Management Limited,LIC MF Debt Hybrid Fund,Direct,Growth,Open Ended,Hybrid Scheme,Conservative Hybrid Fund,120276,Conservative Hybrid Fund,INF767K01EO7
